,aba,contrario_principal_nome_razao_social,numero_de_cnj,natureza,objetos_nome,cliente_principal_posicao,valor_da_causa,pedidos_nome,pedidos_contingencia,fase,faixa_de_probabilidade_de_perda_p_a_unimed,custas,garantias_depositos_deposito_integral,garantias_depositos_valor,valor_estimado_de_perda_provisao_p_contingencias,andamentos_data,materia,processo_administrativo,andamentos_descricao,risco,acao,status
66,Ativo Tributario,Agência Nacional de Saúde Suplementar,0005587-38.2019.4.01.3600,Nâo Tributária,Embargos à Execução Fiscal,Autor,94389.78,Declaratória,Passiva,Apelação - Aguardando julgamento de recurso pelo TRF1,Possível,,"Sim (ag. 2317;  Op.: 635; Cc: 00337196-4; Valor: R$ 110.641,77,  vinulada à Execução Fiscal n. 2095-38.2019.4.01.3600)",0.0,11064.17,2023-06-16 00:00:00,Multa Pecuniária por Infração Administrativa,N. ANS 25782.013637/2014-41,"Embargo à Execução Fiscal n. 2095-38.2019.4.01.3400, movida em desfavor da ANS, em face da cobrança da CDA n. 4.002.003843/18-65, no valor de R$ 110.641,77. Sentenca de Improcedencia dos Embargos a Execucao, com condenacao da UNIMED CUIABA ao pagamento de honorarios de 10% sobre o valor da causa. Recurso de apelacao pendente de julgamento pelo TRF1.  JUNTADA DE MANIFESTAÇÃO - PEDIDO DE HABILITAÇÃO ESCRITÓRIO VOLPE CONFORME ID 300598040",Baixo,EMBARGOS A EXECUÇÃO,Ativo
67,Ativo Tributario,Agência Nacional de Saúde Suplementar,0005588-23.2019.4.01.3600,Nâo Tributária,Embargos à Execução Fiscal,Autor,33162.87,Declaratória,Passiva,Recurso de Apelação aguardando Julgamento,Possível,,"Sim (ag. 2317;  Op.: 635; Cc: 00337194-8; Valor: R$ 39.006,00,  vinulada à Execução Fiscal n. 2077-17.2019.4.01.3600)",0.0,3316.28,2023-06-16 00:00:00,Multa Pecuniária por Infração Administrativa,33902.550682/2918-68,"Embargos à Execução Fiscal n. 2077-17.2019.4.01.3600, referente à cobrança da CDA n. 4.0002.000529/19-75, no valor de R$ 39.006,00. Sentença de Improcedência dos Embargos à Execução, condenando a Unimed CUIABA ao pagamento de honorários fixados em 10% do valor atualizado da causa. Recurso de apelação interposto, aguardando julgamento pelo TRF1. JUNTADA DE MANIFESTAÇÃO - PEDIDO DE HABILITAÇÃO ESCRITÓRIO VOLPE CONFORME ID 300916555",Médio,EMBARGOS A EXECUÇÃO,Ativo
68,Ativo Tributario,Agência Nacional de Saúde Suplementar,0005589-08.2019.4.01.3600,Nâo Tributária,Embargos à Execução Fiscal,Autor,93963.14,Declaratória,Passiva,Recurso de Apelação aguardando Julgamento,Possível,,"Sim (ag. 2317;  Op.: 635; Cc: 00337198-0; Valor: R$ 105.035,67,  vinulada à Execução Fiscal n. 2071-10.2019.4.01.3600)",0.0,9396.31,2023-06-16 00:00:00,Multa Pecuniária por Infração Administrativa,33910.025199/2017-21,"Embargos à Execução Fiscal n. 2071-10.2019.4.01.3600, no qual a ANS almeja a cobrança dos valores inscritos na CDA n. 2.002.003845/18-91, no valor de R$ 105.035,67. Setença de Imrpocedência dos Embargos à Execução, condennado a Unimed ao pagamento de honorários no valor de 10% (dez por cento) do valor da causa atualizado. Recurso de Apelação Interposto pela UNIMED CUIABÁ aguardando julgamento pelo TRF1. JUNTADA DE MANIFESTAÇÃO - PEDIDO DE HABILITAÇÃO ESCRITÓRIO VOLPE CONFORME ID 308508049",Médio,EMBARGOS A EXECUÇÃO,Ativo
69,Ativo Tributario,União Federal (Fazenda Nacional),0016762-44.2010.4.01.3600,Tributária,Contribuições Previdenciárias,Autor,1000,Declaratória,Ativa,Processo Sobrestado - Aguardando processamento do RE da UNIAO.,Remota,,NAO,0.0,0,2023-06-16 00:00:00,"Ação Declaratória de suspensão da exigibilidade da contribuição previdenciárai sobre o auxílio doença - acidente (primeiros 15 dias), terço de férias, aviso prévio indenizado e conversão em pecúnia da licença prêmio e férias não gozadas, bem como adicional de horas extras.",Não se Aplica,"Ação Declaratória de suspensão da exigibilidade da contribuição previdenciárai sobre o auxílio doença - acidente (primeiros 15 dias), terço de férias, aviso prévio indenizado e conversão em pecúnia da licença prêmio e férias não gozadas, bem como adicional de horas extras. Sentença parcialmente favorável, para declarar a não incidência da Contribuição Previdenciária sobre as parcelas: auxílio doença, aviso previo indenizado, terço de férias , conversão em pecunia de licença prêmio e férias não gozadas, com compensação dos valores indenvidamente recolhidos, observada a prescrição. Recurso da União e da UNIMED CUIABA. Declarada a inexigibilidade da contribuição previdenciária sobre: abono pecuniario de ferias, ferias nao gozadas, convertidas em pecunia, assim como o adicional de um terço; aviso previo indenizado; conversão da licença prêmio em pecunia; autorizada a compensação. Interposição de Recurso Extraordinário pela União. Processo Sobrestado pelo STF, aguardando o Julgamento do RE 565.160 - RG. Repercussão Geral julgada em 31.08.2017. Processo suspenso por Repercussao Geral - Tema 985.",Baixo,Mandado de segurança,Suspenso
70,Ativo Tributario,Agência Nacional de Saúde Suplementar,0018775-06.2016.4.01.3600,Tributária,Ação Anulatória,Autor,1954364.18,Nulidade de Crédito Tributário,Passiva,Cumprimento de sentença - Honorários,Remoto,,"Sim (Ag. 2317; Op: 635; Cc. 00335673-6; R$ 4.157.511,00, levantado em 28.07.2021)",4157511.0,0,2025-04-01 00:00:00,Inexigiblidade de Pagamento de TSS,Não se Aplica,"Ação Declaratória de Inexistência de Relação Jurídica, manejada com vistas à exclusão da cobrança da Taxa de Saúde Suplementar - TSS - TPS. Sentença favorável, declarando a inexigibilidade da cobrança. Acórdao do TRF1 negando seguimento ao recurso da União e mantendo a sentença de piso. Transitado em Julgado. Iniciada a execução. Efetuda a liberação de saldo parcial em favor da Unimed. Prosseguimento da execução de parcela complementar. Expedido precatório no valor de R$ 2.873.069,44 (dois milhões, oitocentos e setenta e três mil, sessenta e nove reais e quarenta e quatro centavos), recuperados em ação judicial de repetição de indébit, com requisição enviada ao Tribunal.",Baixo,Ação Declaratória de Inexistência de relação Jurídico - Tributária C/C Repetição de Indébito com pedido de Tutela Provisória de Evidência,Ativo
71,Ativo Tributario,Agência Nacional de Saúde Suplementar,1002259-83.2019.4.01.3600,Nâo Tributária,Ação Anulatória,Autor,805563,Nulidade de Crédito Tributário,Passiva,Após Sentença - aguardando recurso,Remota,957.69,Nao,805563.0,0,2024-12-30 00:00:00,Anulação de Multa Administrativa,33903.024721/2012-32; 33902.514610/2015-76,"Ação Anulatória de Ato Administrativo de lançamento de multa administartiva aplicada pela ANS, no valor de R$ 805.563. Programa ""Olho Vivo"". Alegação de inobservânia do TAC celebrado no Processo Adm n. 33902.514610/2015-76. Sentença julgando improcedente a Ação Declaratória, e condenando a Unimed ao Pagamento de Hononrários de 10% sobre o valor atualizado da causa. Apelação da Unimed pendente de julgamento pelo TRF1. PEDIDO DE HABILITAÇÃO NOS AUTOS. Pedido de desistência formulado, em face da adesão à Transação, conforme EDITAL PGU 1/2024.",Médio,Ação Anulatória de Débito Fiscal C/C Liminar,Ativo
72,Ativo Tributario,Agência Nacional de Saúde Suplementar,1011354-06.2020.4.01.3600,Nâo Tributária,Ação Anulatória,Autor,650000,Declaratória,Passiva,Após Sentença - aguardando recurso,Remota,957.69,"Sim (Ag. 2317, Op. 635, Cc. 171-6, Valor R$ 650.000,00)",650000.0,0,2023-06-16 00:00:00,Anulação de Multa Administrativa,33902558773/2015-76,"Ação Anulatória de multa administrativa. Representação n. 2012/2016/DIPRO - ANS. Reajuste de Plano de Saúde Coletivo. Sentença de procedência da anulação da multa administrativa, com proibição de inclusão da UNIMED CUIABÁ no CADIN. Apelação inteprosta pela ANS, pendente de julgamento pelo TRF1. JUNTADA DE MANIFESTAÇÃO - PEDIDO DE HABILITAÇÃO ESCRITÓRIO VOLPE CONFORME ID 304899058",Médio,Ação Anulatória de Débito Fiscal C/C Liminar,Ativo
73,Ativo Tributario,ESTADO DE MATO GROSSO,0022793-02.2015.8.11.0041,Tributária,Ação Cautelar com Depósito,Autor,573334.03,Declaratória,Ativa,Sentença de Desistência,Remota,4616.67,Sim (Deposito levantado),573334.03,0,2023-07-14 00:00:00,Inexigibildade de Tributo,Não se Aplica,"Sentença de Desistência Proferida. Depósito Levantado pelo Escritório Larrea em 27.03.2023. Valor: 834.007,92.",Médio,Anulatória. Auto de Infração.,Ativo
74,Ativo Tributario,ESTADO DE MATO GROSSO,0022794-84.2015.8.11.0041,Tributária,Cautelar,Autor,548407.24,Obrigação de Fazer,Ativa,Sentença de Desistência,Remota,,Sim (Deposito levantado),548407.24,0,2023-06-15 00:00:00,ICMS,Não se Aplica,"Sentença de Desistência Proferida. Depósito Levantado pelo Escritório Larrea em 09.01.2023. Valor: 826.982,01.",Médio,"Cautelar de protestos, notificações e interpelações",Ativo
75,Ativo Tributario,ESTADO DE MATO GROSSO,0027876-96.2015.8.11.0041,Tributária,Ação Anulatória,Autor,573334.03,Obrigação de Fazer,Ativa,Sem sentença,Remota,,,0.0,0,02/10/2020,ICMS,,Remessa Processo enviado .,Médio,Ação Anulatória de Débito Fiscal C/C Protesto,Ativo
76,Ativo Tributario,ESTADO DE MATO GROSSO,0034150-13.2014.8.11.0041,Tributária,Ação Cautelar com Depósito,Autor,20449.85,Obrigação de Fazer,Ativa,Sentença Favorável,Remota,,Sim,20449.85,0,2023-06-15 00:00:00,ICMS,,"Sentença Favorável. Processo extinto, face à adesão ao REFIS. Valores Levantados pelo Escritório Larrea Advogados. Valor: R$ 32.488,84 (trinta e dois mil e quatrocentos e oitenta e oito reais e oitenta e quatro centavos)",Médio,Caução. ICMS. Inexigibilidade do Débito.,Ativo
77,Ativo Tributario,ESTADO DE MATO GROSSO,0039769-21.2014.8.11.0041,Tributária,Ação Anulatória,Autor,20449.85,Obrigação de Fazer,Passiva,Sentença de Desistência,Possível,581.85,Sim,0.0,0,2023-06-16 00:00:00,,,Homologação da sentença de desistência.,,Ação Anulatória de Débito Fiscal C/C Protesto. ICMS,Ativo
78,Ativo Tributario,ESTADO DE MATO GROSSO,0049070-55.2015.8.11.0041,Tributária,Embargos à Execução Fiscal,Autor,75865.29,Declaratória,Passiva,Arquivado,Remota,727.2,,0.0,0,07/12/2022,,,"Diante da decadência reconhecida, os embargos foram  julgados procedentes e está arquivado.",Médio,EMBARGOS A EXECUÇÃO,Ativo
79,Ativo Tributario,ESTADO DE MATO GROSSO,0052636-12.2015.8.11.0041,Tributária,Compensação. ICMS. Descontos Incondicionais.,Autor,2482039.93,Obrigação de Fazer,Ativa,Após Sentença - aguardando recurso,Remoto,74461.2,SIM,0.0,0,2024-02-18 00:00:00,ICMS,,"Acórdáo julgando embargos de declaração da UNIMED cuiabá que deram provimento ao recurso de apelação para excluir a condenação ao pagamento do ICMS e Multa, viabilizando a restituição por compensação",Médio,AÇÃO ORDINARIA DE COMPENSAÇÃO C/C PEDIDO INCIDENTAL DE INCONSTITUCIONALIDADE .,Ativo
80,Ativo Tributario,ESTADO DE MATO GROSSO,0058875-66.2014.8.11.0041,Tributária,Mandado de Segurança,Autor,50000,Obrigação de Fazer,Ativa,"Processo sobrestado - aguardando julgamento dos PARADIGMAS  EREsp 1163020/RS; REsp 1699851/TO e REsp 1692023/MT – TEMA 986/STJ, por se tratar de matéria repetitiva.",Provável,,NAO,,0,2023-04-27 00:00:00,TUST E TUDS sobre ICMS,,Juntada de petição de habilitação;,Médio,Mandado de segurança,Suspenso
81,Ativo Tributario,ESTADO DE MATO GROSSO,1056017-35.2020.8.11.0041,Tributária,Ação Anulatória,Autor,92270.5,Declaratória,Passiva,Sem sentença,Possível,1845.42,Sim,92270.5,0,2023-04-27 00:00:00,,,Juntada de petição de habilitação;,Baixo,Anulação de ato administrativo,Ativo
82,Ativo Tributario,FAZENDA NACIONAL,0017925-19.2015.4.01.0000,Tributária,AGRAVO DE INSTRUMENTO,Autor,0,Obrigação de Fazer,Ativa,Processo com transito em julgado registrado em razão da perda de objeto,Remoto,,NAO,0.0,0,2023-06-22 00:00:00,,Cautelar,ARQUIVADO DEFINITIVAMENTE,Médio,AGRAVO DE INSTRUMENTO c/c PEDIDO DE EFEITO ATIVO (ANTECIPAÇÃO DE TUTELA RECURSAL),Inativo
83,Ativo Tributario,GERENT DA AGÊNCIA FAZENNDARIA CUIABA DA SEFAZ,1045757-59.2021.8.11.0041,Tributária,Mandado de Segurança,IMPETRANTE,1000,Obrigação de Fazer,Ativa,Sem sentença,Possível,,NAO,0.0,0,2023-06-22 00:00:00,,,JUNTADA DE COMUNICAÇÃO ENTRE INSTÂNCIAS,Baixo,Mandado de segurança Com Pedido de Medida Liminar,Ativo
84,Ativo Tributario,MUNICÍPIO DE CUIABÁ,1035761-08.2019.8.11.0041,Tributária,Ação Anulatória,Autor,393417.96,Declaratória,Passiva,Sem sentença,Possível,7651.27,Não,393417.96,,2023-07-24 00:00:00,,,PEDIDO DE HABILITAÇÃO UNIMED - SPADONI JAUDY ADVOGADOS,Médio,Anulação de ato administrativo,Ativo
85,Ativo Tributario,UNIÃO FEDERAL,0006053-13.2011.4.01.3600,Tributária,Ação Cautelar com Depósito,Autor,11305992,Obrigação de Fazer,Ativa,Após Sentença - aguardando recurso,Remoto,,Não (depósito convertido em pagamento.,11305992.0,0,17/07/2020,PIS E COFINS,,"Ação Cautelar visando a suspensão da exigibilidade dos tributos PIS e COFINS e emissão de certidão positiva com efeitos negativos. Processo Principal: 8773-50.2011.4.01.3600. Sentença julgada procedente, para após o deposito, deferir certidão de inexigibilidade. Ação principal julgada improcedente. Depósito judicial convertido em renda e levantado pela União. Cod: 60600 Descrição: PROCESSO MIGRADO PARA O PJE",Médio,Caução,Suspenso
86,Ativo Tributario,UNIÃO FEDERAL,0008773-50.2011.4.01.3600,Tributária,Ação Declaratória,Autor,235236.23,Declaratória,Passiva,Recurso Julgado - Aguardando Tribunal Superior,Remoto,,NAO,0.0,23523.62,2022-11-07 00:00:00,PIS E COFINS,,"Ação Declaratoria de Inexibilidade de Tributo. PIS e COFINS. Atos Cooperados. Sentença que julga procedente os pedidos. Acórdão do TRF1 que reforma a sentença, para declarar a exigibildiade dos tributos. Pagamento de honorários à União Federal efetuado.",Médio,Ação Declaratória de Inexistência de Débito C/C Pedido Liminar,Ativo
87,Ativo Tributario,Agência Nacional de Saúde Suplementar,1028368-95.2023.4.01.3600,Nâo Tributária,Embargos à Execução Fiscal,Autor,112639.68,Declaratória,Passiva,Sem sentença,Remoto,,SIM (Bloqueio Judicial ),112639.68,0,2024-12-30 00:00:00,Multa Pecuniária por Infração Administrativa,33903.011186/2014-11,"Embargos a execucao fiscal n. 1002992.15.2020.4.01.3600. CDA n. 4.002.001005/20-53, no valor de R$ 112.639,68. Decisao suspendendo a execucao.  Aguadando citação da ANS.Pedido de desistência formulado, em face da adesão à Transação, conforme EDITAL PGU 1/2024.",Médio,EMBARGOS A EXECUÇÃO,Ativo
88,Ativo Tributario,Agência Nacional de Saúde Suplementar,1028369-80.2023.4.01.3600,Nâo Tributária,Embargos à Execução Fiscal,Autor,144638.21,Declaratória,Passiva,Sem sentença,Remoto,,SIM (Bloqueio Judicial ),144638.21,0,2024-12-30 00:00:00,Multa Pecuniária por Infração Administrativa,33903028369/2015-57,"Embargos à Execução Fiscal n. 1004753-81.2020.4.01.3600, referente à execução da CDA n. 4.002.00100705/20-89, no valor de R$ 144.638,21. Autos de Infracao n. 42402026. Determinada a citação e deferia a suspensão da execução, com a conversão em depósito dos valores obtidos em bloqueio judicial. Aguarando informações de conta e agência. Pedido de desistência formulado, em face da adesão à Transação, conforme EDITAL PGU 1/2024.",Médio,EMBARGOS A EXECUÇÃO,Ativo
89,Ativo Tributario,Agência Nacional de Saúde Suplementar,1028371-50.2023.4.01.3600,Nâo Tributária,Embargos à Execução Fiscal,Autor,64771.2,Declaratória,Passiva,Sem sentença,Remoto,,SIM (Bloqueio Judicial ),64771.2,0,2024-12-30 00:00:00,Multa Pecuniária por Infração Administrativa,33903.001854-2016.64,"Embargos à Execução Fiscal n. 1004755-51.2020.4.01.3600, referente à execução da CDA n. 4.002.001008/20-41, no valor de R$ 64.771,20. Autos de Infracao n. 26555.2027 - DIFIS. Determinada a citação e deferia a suspensão da execução, com a conversão em depósito dos valores obtidos em bloqueio judicial. Aguarando informações de conta e agência. Pedido de desistência formulado, em face da adesão à Transação, conforme EDITAL PGU 1/2024.",Médio,EMBARGOS A EXECUÇÃO,Ativo
90,Ativo Tributario,Agência Nacional de Saúde Suplementar,1028372-35.2023.4.01.3600,Nâo Tributária,Embargos à Execução Fiscal,Autor,220709.84,Declaratória,Passiva,Sem sentença,Remoto,,SIM (Bloqueio Judicial ),220709.84,0,2024-12-30 00:00:00,Multa Pecuniária por Infração Administrativa,25783.022449-2016-65; 25783.015814-2016-85,"Embargos à Execução Fiscal n. 1006689-44.2020.4.01.3600, referente à execução da CDA n. 4.002.003141/20-32, no valor de R$ 220.709,84. Autos de Infracao n. 121602016, e 132602016. Determinada a citação e deferia a suspensão da execução, com a conversão em depósito dos valores obtidos em bloqueio judicial. Aguarando informações de conta e agência. Pedido de desistência formulado, em face da adesão à Transação, conforme EDITAL PGU 1/2024.",Médio,EMBARGOS A EXECUÇÃO,Ativo
91,Ativo Tributario,Agência Nacional de Saúde Suplementar,1019553-12.2023.4.01.3600,Nâo Tributária,Ação Anulatória,Autor,114071.76,Declaratória,Passiva,Aguardando Citação da Parte Contrária,Remoto,,"Sim (Ag. 3717, Op. 635, Cc. 1057-6, Valor R$ 114.071,76",114071.76,0,2024-12-30 00:00:00,Multa Pecuniária por Infração Administrativa,33910.009317/20-50,"Ação Anulatoria de Ato Administrativo. Auto de Infração n. 58971-2020, com cominação de multa no valor de R$ 79.200,00. Autos agurdando citação da parte contrária. Pedido de desistência formulado, em face da adesão à Transação, conforme EDITAL PGU 1/2024.",Médio,Ação Declaratória de Inexistência de Débito C/C Pedido Liminar,Ativo
92,Ativo Tributario,UNIÃO FEDERAL,1021994-34.2021.4.01.3600,Tributária,Ação Declaratória,Autor,1000,Obrigação de Fazer,Passiva,Suspensa por Depender de Julgamento do Tema n.,Remota,5.32,Não,0.0,0,2023-07-18 00:00:00,Exclusao do ISS da Base de Claculo do PIS COFINS,Não se Aplica,"Acao declaratoria de não Incidencia de Tributo. Exclusão do ISS da Base de Cálculo do Pis e do COFINS. Liminar deferida para determinar a exclusão. Sentença proferida, confirmando a liminar, deferindo a exclusão do ISS da base de cálculo do PIS COFINS. Recurso de Apelação da UNIÃO pendente de julgamento pelo TRF1. Processo sobrestado, em face de decisão do STF.",Baixo,Declaratória,Ativo
93,Ativo Tributario,Agência Nacional de Saúde Suplementar,1024450-49.2024.4.01.3600,Nâo Tributária,Ação Anulatória,Autor,60000,Declaratória,Ativa,Sentença homologatoria da desistencia,Remoto,,Náo,0.0,6000,2024-11-01 00:00:00,Ressarcimento SUS,"33910.009317/20-50 33910.009619/2019-94
33910.034585/2018-95
33910.015661/2018-63
33910.015493/2019-97
33910.019786/2017-81
33910.012223/2020-68
33910.009619/2019-94
33902.768711/2014-84
33902.218104/2014-78
33902.438226/2016-41
33910.031787/2020-08
33902.710479/2013-12
33910.027685/2019-46
33910.018475/2020-09
33910.032145/2019-84
33910.038241/2020-70
33910.003930/2020-63
33910.031787/2020-08
33910.032145/2019-84
33910.000831/2016-43
33910.003930/2020-63
33910.018475/2020-09
33910.0317872020-08
33910.032145/2019-84
33902.768711/2014-84","Ação Anulatoria de Ato Administrativo. Resssarcimento de procedimentos do SUS. Alegação de possível prescrição. Ação baseada em afetação de recurso repetitivo no STJ (Tema 1147). Homologado Pedido de desistência formulado, em face da adesão à Transação, conforme EDITAL PGU 1/2024.",Baixo,Ação Declaratória de Inexistência de Débito C/C Pedido Liminar,Arquivado
94,Ativo Tributario,Agência Nacional de Saúde Suplementar,1006666-25.2025.4.01.3600,Nao Tributária,Ação Anulatória,Autor,"37.443,00",Declaratória,Ativa,Sem sentença,Remoto,,Sim,0.0,0,2025-09-29 00:00:00,Ressarcimento SUS,N. ANS 33910.004113/2022-94,"Ação anulatória visando o cancelamento da cobrança de multa aplicada pela ANS, no  Auto de Infração n.º 80994/2022.",Alto,Execução fiscal,Ativo
95,Ativo Tributario,Agência Nacional de Saúde Suplementar,0016888-70.2005.4.01.3600,Nao Tributária,Ação Anulatória,Autor,40447.92,Declaratória,Passiva,Recurso de Apelação aguardando Julgamento,Possível,,Não,0.0,,2025-12-19 00:00:00,Ressarcimento SUS,N. ANS 455040003402,"Ação anulatória visando o cancelamento da cobrança de ressarcimento de desespas relaciondas ao SUS, no valor de R$ 40477,92. Sentença desfavorável, determinando o pagamento da verba. Em segundo grau, a sentença foi mantida, reconhecendo-se a responsabildiade da cooperativa para pagamento do débito. O processo atualmente encontra-se em segundo grau de jurisdição",Alto,Execução fiscal,Ativo
96,Arquivados,Agência Nacional de Saúde Suplementar,0008797-88.2005.4.01.3600,Nao Tributária,Ação de Execução Fiscal,Réu,196772.37,Obrigação de Fazer,Passiva,Transitado Julgado,Remota,,Baixado,285630.39,196772.37,2022-08-25 00:00:00,Multa,N. ANS 33902.131395/2004-19,ARQUIVADO DEFINITIVAMENTE,Baixo,Execução fiscal,Arquivado
97,Arquivados,ESTADO DE MATO GROSSO,0053904-38.2014.8.11.0041,Tributária,Ação de Execução Fiscal,Réu,75865.29,Obrigação de Fazer,Passiva,Sem sentença,Remoto,,Sim,75865.29,0,2023-04-02 00:00:00,,,CERTIDÃO DE NÃO CONDENAÇÃO EM CUSTAS,Médio,Execução fiscal,Arquivado
98,Arquivados,FAZENDA PÚBLICA DO MUNICÍPIO DE RONDONÓPOLIS,1011234-09.2019.8.11.0003,Tributária,Ação de Execução Fiscal,Executado,14542.38,Obrigação de Fazer,Passiva,Transito em julgado,Remoto,,Sim,14542.38,0,2023-03-31 00:00:00,Excucao Fiscal  Multa em Processo Licitatorio,,RECEBIDOS OS AUTOS - transito em julgado em 17/03/2023,Baixo,Execução fiscal,Arquivado
99,Arquivados,MUNICIPIO DE VARZEA GRANDE,0022061-07.2016.8.11.0002,Tributária,Embargos à Execução Fiscal,Réu,6883.93,Obrigação de Fazer,Passiva,Transitado Julgado/ Pagamento,Provavel,,Sim,5798.43,663.17,2023-04-27 00:00:00,,,"Processo Arquivado. O Juiz  intimou o Município, mas eles não se manifestaram, para requerer o prosseguimento da ação. O processo foi arquivado. Aguardamos o prazo legal para requerer a prescrição com a baixa da provisão.",Médio,EMBARGOS A EXECUÇÃO,Arquivado
100,Arquivados,CONSELHO ADMINISTRATIVO DE DEFESA ECONOMICA CADE,0037382-03.2007.4.01.3400,Cível,Execução,Executado,100000,Obrigação de Fazer,Passiva,Transitado Julgado/ Pagamento,Remota,,957.69,20340.36,0,0,Infracao a Concorrencia,012.0076311/97-65 (CADE),"Infração à Concorrência. Criação de emepcilhos a médicos exercerem suas atividades fora da cooperativa. Acordo Celebrado. Levantamento dos valores em depósito em 13.09.2022, no total de R$ 50.439,67.",Baixo,Execução de Título Extrajudicial,Arquivado
101,Arquivados,UNIAO FEDERAL,0004331-41.2011.4.01.3600,Nao Tributária,Depósito/ Garantia para Suspensão da Exigibilidade,Réu,841532.29,Declaratória,Passiva,Transitada em Julgado,Quitado,,Quitado,841532.29,841532.29,2024-12-03 00:00:00,FGTS,,"No caso, foram devidamente certificados nos autos os comprovantes de levantamento do crédito da parte exequente, motivo pelo qual DECLARO EXTINTA A EXECUÇÃO, SENTENCIANDO-A COM EXAME DE MÉRITO, nos termos do art. 487, I c/c art. 924, II, ambos do CPC.",Baixo,Caução,Arquivado
102,Arquivados,Agência Nacional de Saúde Suplementar,0012695-60.2015.4.01.3600,Nao Tributária,Ação de Execução Fiscal,Executado,116751.36,Obrigação de Fazer,Passiva,Transitado Julgado/ Pagamento,Remota,,Baixado,,,30/07/2020,Multa,,"Cod: 123 Descrição: BAIXA ARQUIVADOS
Complemento: Nº PACOTENHC",Baixo,Execução fiscal,Arquivado
103,Arquivados,Agência Nacional de Saúde Suplementar,0016274-50.2014.4.01.3600,Nao Tributária,Ação de Execução Fiscal,Executado,45203.23,Obrigação de Fazer,Passiva,Sem sentença,Remota,,Baixado,,,18/06/2021,Multa,,"Cod: 123 Descrição: BAIXA ARQUIVADOS
Complemento: Nº PACOTEAPOIO",Baixo,Execução fiscal,Arquivado
104,Arquivados,Agência Nacional de Saúde Suplementar,0016865-51.2010.4.01.3600,Nao Tributária,Ação de Execução Fiscal,Executado,496282.99,Obrigação de Fazer,Passiva,Sem sentença,Remota,,Depósito Judicial,523082.54,,2023-06-01 00:00:00,Multa,N. ANS 22902099878200331,ARQUIVADO DEFINITIVAMENTE,Baixo,Execução fiscal,Arquivado
105,Arquivados,Agência Nacional de Saúde Suplementar,0019114-33.2014.4.01.3600,Nao Tributária,Ação de Execução Fiscal,Executado,89561.23,Obrigação de Fazer,Passiva,Sem sentença,Remota,,Baixado,,,2023-07-04 00:00:00,Multa,N. ANS 33902.151945/2004-16,ARQUIVADO DEFINITIVAMENTE,Baixo,Execução fiscal,Arquivado
106,Arquivados,Agência Nacional de Saúde Suplementar,0025111-36.2010.4.01.3600,Nao Tributária,Ação de Execução Fiscal,Réu,291089.48,Obrigação de Fazer,Passiva,Sem sentença,Remota,,Baixado,291089.48,291089.48,2022-07-27 00:00:00,Multa,N. ANS  33902056495200459,Certidão - ARQUIVADO DEFINITIVAMENTE,Médio,Execução fiscal,Arquivado
107,Arquivados,Agência Nacional de Saúde Suplementar,0005311-90.2008.4.01.3600,Nâo Tributária,Suspensão da Exigibilidade do Débito,Autor,93206.23,Declaratória,Passiva,Transitado Julgado/ Pagamento,Remota,,Sim (Levantado),1731.75,Não se Aplica (Depósito Levantado),2023-02-10 00:00:00,Multa Pecuniária por Infração Administrativa,33902.050610/200-58; 25007011880/2000-19,"Cumprimento de Sentença em Embargos a Execucao Fiscal. Multa Pecuniária decorrente do CDA 794-30.  por descredenciamento sem notificação do Hospital de Medicina Especializada Ltda. Desistência com renúncia do Mérito pela UNIMED. Condenação ao pagamento de Honorários de R$ 2.500,00 adimplida. ARQUIVADO DEFINITIVAMENTE.",Baixo,Embargos à Execução Fiscal,Inativo
108,Arquivados,Agência Nacional de Saúde Suplementar,0001418-18.2013.4.01.3600,Nao Tributária,Ação de Execução Fiscal,Executado,371558.03,Obrigação de Fazer,Passiva,Transitado Julgado/ Pagamento Realizado (Baixar Contingência),Quitado,,Baixado,,,2024-04-22 00:00:00,Multa. Ressarcimento SUS. Autorizacao de Internacao Hospitalar.,N. ANS 33902.008473/2007-06,Ressarcimento SUS. Autorizacao de Internacao Hospitalar.Processo extinto pelo Pagamento.,Médio,Execução fiscal,Arquivado
109,Arquivados,Agência Nacional de Saúde Suplementar,0014049-91.2013.4.01.3600,Nao Tributária,Ação de Execução Fiscal,Executado,245804.56,Obrigação de Fazer,Passiva,Sentenciado,Remota,,Baixado,,,2024-07-29 00:00:00,Multa,N. ANS  33902101058201045,Sentença de extinção do feito em razão do pagamento do débito,Baixo,Execução fiscal,Arquivado
110,Arquivados,Agência Nacional de Saúde Suplementar,1012482-27.2021.4.01.3600,Nao Tributária,Ação de Execução Fiscal,Executado,269294.27,Obrigação de Fazer,Passiva,Sem sentença,Provável,,Parcelamento,,0,2023-06-22 00:00:00,Multa,N. ANS 33902.074590/2017-59; 33910.013802/2019-94 33903.003947/2017-12,Extinção pelo pagamento,Baixo,Execução fiscal,Arquivado
